Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0,63.3,1.33687,-1.10238,0.80403,-1.11026,-0.90053,0.43898,-1.51011,-0.85814,-0.23807,0.60457,0.78158,-0.39282,-0.14302,0.37318,0.17261,0.44383,-0.14488,0.53149,-0.62581,-0.32377,-0.35342,1.1207,0.84709,-0.49795,0.55814,1.51302,1.68703,0.14287,0
1,69.08,0.90328,0.48814,-0.21191,-1.07332,2.43613,2.10593,0.33751,-0.23156,0.01619,-0.7158,1.70759,-0.44532,-0.83204,0.60828,1.2507,1.52793,1.26471,-1.61623,-1.47711,-0.2834,0.21787,-0.87367,-1.24461,0.85396,-0.24972,0.56673,-0.99244,0.84376,0
2,145.81,0.51636,1.00214,-0.64836,-1.34323,0.05212,1.02743,1.08512,0.36245,0.29354,-0.25674,1.43503,0.91917,0.71674,-1.60646,-0.0868,-0.53294,-1.0078,-0.11653,0.736,1.38007,-0.38695,-0.56511,2.13901,0.69623,-0.47227,0.58542,-1.41698,2.49575,0
3,42.17,1.90538,-0.22594,-1.48887,0.99299,0.43524,0.09921,-1.03866,-1.58608,-1.1533,2.20419,-0.97899,-0.18505,1.36784,-0.01523,-0.85305,-0.90336,0.60745,2.6055,0.54372,-0.86748,0.38967,0.06726,-1.30122,-1.32835,2.82272,-0.75341,1.99198,-0.12966,0
4,10.56,0.86079,-0.15764,0.04311,-0.89167,0.21093,-0.24576,0.01073,0.62176,-0.05419,-2.25067,0.42444,-0.01137,-1.1929,2.23195,-0.30202,-1.17665,-0.48127,-0.43507,0.62032,-1.69469,1.16271,-1.40039,1.16467,1.35753,-0.35776,0.09786,-1.00499,-0.07996,0
5,36.88,3.52756,-0.06313,2.08575,-0.66147,-0.81686,-0.80588,-0.17808,1.12992,-0.23425,-0.46043,-0.30007,1.04905,0.10017,0.92083,1.53991,-1.97374,1.06549,-2.06034,-0.56216,0.98422,1.01068,-0.88849,0.56416,-1.31327,-0.83437,-0.56351,0.16021,-0.89397,0
6,87.85,0.21251,-1.21417,-0.21284,-0.86641,0.01481,0.91146,0.67226,0.77251,0.82256,-0.51318,1.72544,-1.0806,1.11722,0.75689,0.13213,-0.31428,-1.16021,0.13128,1.05723,1.30741,1.63077,-0.31121,-1.09118,-1.22083,0.32521,0.18456,-1.30501,-0.6719,0
7,57.12,-0.87381,0.62787,0.82783,-0.75131,-0.50393,-0.24121,0.88733,-1.95218,-1.74019,-0.44478,-0.8017,-1.63719,-2.30153,1.55403,-0.43974,-0.42467,-1.28405,1.46075,0.17612,-0.82406,-1.12231,1.17054,0.75554,-0.01326,-1.02395,-1.33711,0.25189,-0.78733,0
8,38.77,-0.11019,0.42839,-0.29986,-1.27598,1.54919,-0.32027,-0.79273,-0.96818,0.96588,0.62401,-0.21365,-0.58597,-1.03515,-0.24987,1.30485,-0.39348,1.83957,-0.07852,-0.2529,0.45746,0.14433,-0.3753,-0.34924,-1.36899,-0.58511,-0.87779,0.18338,0.40164,0
9,30.9,-1.55131,1.37076,-1.62669,0.63393,-0.57993,-1.40911,1.18933,0.16012,2.17586,-0.07345,0.15413,1.8778,-0.74307,1.13565,-0.22784,-1.28219,0.33463,2.02692,-0.19104,0.82513,-0.92842,-2.06315,0.02887,1.65822,-0.06723,-1.08677,-0.25942,-0.96589,0
